"Time (ET)","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday"
"00:00–08:00","No movies/TV. Games/radio (1 hr, mod discretion).","Same","Same","Same","No movies/TV (post-Friday cutoff). Games/radio (1 hr).","No movies/TV. Games/radio (1 hr).","Movies allowed (post-series). Games/radio (1 hr)."
"08:00–11:00","No movies/TV. Games/radio (1 hr).","Same","Same","Same","No movies/TV. Games/radio (1 hr).","No movies/TV. Games/radio (1 hr).","2 TV episodes (current series). No movies until post-series. Games/radio (1 hr, post-series)."
"11:00–13:00","No movies/TV. Games/radio (1 hr).","Same","Same","Same","No movies/TV. Games/radio (1 hr).","No movies/TV. Games/radio (1 hr).","1 movie (post-series). Games/radio (1 hr)."
"13:00–21:00","No movies/TV. Games/radio (1 hr).","Same","Same","Same","Marathon rules: Movies allowed. Games/radio (1 hr).","No movies/TV. Games/radio (1 hr).","1 movie (post-series). Games/radio (1 hr)."
"21:00–22:00","No movies/TV. Games/radio (1 hr).","Same","Same","Same","Movies start (if Destiny ends). Games/radio (1 hr).","No movies/TV. Games/radio (1 hr).","1 movie (post-series). Games/radio (1 hr)."
"22:00–24:00","No movies/TV. Games/radio (1 hr).","Same","Same","Same","Movies allowed (until 12:00). Poll after 2 films. Games/radio (1 hr).","2 TV episodes (finished series). No movies. Games/radio (1 hr, post-series).","1 movie (post-series). Games/radio (1 hr)."
"","","","","","","",""
"Notes:","","","","","","",""
"1. Movies: Mon–Thu: Not allowed. Friday: Start at 22:00 or 1 hr after Destiny’s stream ends, end at 12:00. Poll after 2 films to step down if >50% vote yes. Saturday: No movies, only TV. Sunday: One movie after TV episodes (post-08:00), paused until midnight if series runs late.","","","","","","",""
"2. TV/Series: Only at Saturday (22:00, 2 episodes, finished series) and Sunday (08:00, 2 episodes, current series). Banned outside these slots.","","","","","","",""
"3. Games/Radio: Allowed any time, 1 hr limit, 30–45 min gap after conducting. Interaction-heavy streams face stricter moderation.","","","","","","",""
"4. Flaired Conductors: Priority for slots; non-flaired need mod permission (tena, rin_lux, RTBA, or flaired conductor).","","","","","","",""
"5. Destiny Streaming: Overrides schedule; conducting stops immediately, no makeup unless specified.","","","","","","",""
"6. Vacation Rules: If Destiny gone >2 days, flaired conductors stream one movie daily (11:00–22:00). Same for 1–2 days with notice.","","","","","","",""
"7. Bans: Illegal conducting: 3-day IP ban, exponential increase for repeats. Spamming or bad behavior (e.g., harassment) banned. Illegal stream links banned.","","","","","","",""
"8. Moderation: Enforces rules to prevent chat takeover. Unbanning requires supermajority; no third chances.","","","","","","",""
